Tweet,Tokenized_Tweets,Corrected_Words,Positive_Values,Negative_Values,Neutral_Values,Overall_Text_Sentiment,emoji_sentiments,sentiment_class
A year ago Any progress from the winning candidate winking_face hashtagHalalan2022 hashtagHalalanParaSaKalikasan hashtagPhilippineElections2022,"['a', 'year', 'ago', 'any', 'progress', 'from', 'the', 'winning', 'candidate', 'winking_face', 'hashtaghalalan2022', 'hashtaghalalanparasakalikasan', 'hashtagphilippineelections2022']","year, ago, progress, winning, candidate, winking_face, hashtaghalalanparasakalikasan, hashtagphilippineelections",0.025992063492063493,0.0035714285714285713,0.3333333333333333,Positive,0.464,Positive
Bongbong Marcos Sara Duterte express deepest gratitude to the Iglesia Ni Cristo for their endorsement hashtagHalalan2022 hashtagPhilippines hashtagSara hashtagBBM hashtagIglesiaNiCristo,"['bongbong', 'marcos', 'sara', 'duterte', 'express', 'deepest', 'gratitude', 'to', 'the', 'iglesia', 'ni', 'cristo', 'for', 'their', 'endorsement', 'hashtaghalalan2022', 'hashtagphilippines', 'hashtagsara', 'hashtagbbm', 'hashtagiglesianicristo']","bongbong, marcos, sara, duterte, express, deepest, gratitude, iglesia, cristo, endorsement, hashtagphilippines, hashtagsara, hashtagbbm, hashtagiglesianicristo",0.019230769230769232,0.024976258309591645,0.12037037037037036,Negative,0.659,Positive
I decide I only vote for BBM red_heart SARA DUTERTE green_heart PULA ANG PILIPINAS hashtagBringBackMarcos hashtagMarcosDuterte2022 hashtagBBMSaraUNITEAM hashtagWeDecide hashtagPHVote hashtagHalalan2022,"['i', 'decide', 'i', 'only', 'vote', 'for', 'bbm', 'red_heart', 'sara', 'duterte', 'green_heart', 'pula', 'ang', 'pilipinas', 'hashtagbringbackmarcos', 'hashtagmarcosduterte2022', 'hashtagbbmsarauniteam', 'hashtagwedecide', 'hashtagphvote', 'hashtaghalalan2022']","decide, vote, bbm, red_heart, sara, duterte, green_heart, pula, pilipinas, hashtagbringbackmarcos, hashtagmarcosduterte, hashtagbbmsarauniteam, hashtagwedecide, hashtagphvote",0.000925925925925926,0.0,0.1111111111111111,Positive,-0.093,Neutral
Mr Bbm and Ms Sara Duterte are obviously will win this hashtagHalalan2022 other candidates are desperate last options is maybe to manipulate the counts on May 9 hopefully hashtagUniteamBBMSara2022 hashtagUNiTeamBBMSARA are enough ready to secure our votes for hashtagUniteamBBMSara2022,"['mr', 'bbm', 'and', 'ms', 'sara', 'duterte', 'are', 'obviously', 'will', 'win', 'this', 'hashtaghalalan2022', 'other', 'candidates', 'are', 'desperate', 'last', 'options', 'is', 'maybe', 'to', 'manipulate', 'the', 'counts', 'on', 'may', '9', 'hopefully', 'hashtaguniteambbmsara2022', 'hashtaguniteambbmsara', 'are', 'enough', 'ready', 'to', 'secure', 'our', 'votes', 'for', 'hashtaguniteambbmsara2022']","bbm, sara, duterte, win, candidate, desperate, option, manipulate, count, hashtaguniteambbmsara, hashtaguniteambbmsara, ready, secure, vote, hashtaguniteambbmsara",0.019983393043737873,0.0292021197193611,0.3103448275862069,Negative,0.652,Positive
THE CROWD IS INSANE BBM YOULL FOREVER BE INSANE FOR THIS 600000K still counting PULA ANG PILIPINAS hashtagBringBackMarcos hashtagMarcosDuterte2022 hashtagHalalan2022,"['the', 'crowd', 'is', 'insane', 'bbm', 'youll', 'forever', 'be', 'insane', 'for', 'this', '600000k', 'still', 'counting', 'pula', 'ang', 'pilipinas', 'hashtagbringbackmarcos', 'hashtagmarcosduterte2022', 'hashtaghalalan2022']","crowd, insane, bbm, youll, forever, insane, k, counting, pula, pilipinas, hashtagbringbackmarcos, hashtagmarcosduterte",0.020652173913043477,0.035869565217391305,0.29347826086956524,Negative,0.652,Positive
I am honestly so afraid that we will never see a campaign like that of Leni Robredo again This is purely peoples efforts for that one in a million politician who served and delivered despite being targeted and maligned Do not let this get away hashtagLeniKiko2022 hashtagHalalan2022,"['i', 'am', 'honestly', 'so', 'afraid', 'that', 'we', 'will', 'never', 'see', 'a', 'campaign', 'like', 'that', 'of', 'leni', 'robredo', 'again', 'this', 'is', 'purely', 'peoples', 'efforts', 'for', 'that', 'one', 'in', 'a', 'million', 'politician', 'who', 'served', 'and', 'delivered', 'despite', 'being', 'targeted', 'and', 'maligned', 'do', 'not', 'let', 'this', 'get', 'away', 'hashtaglenikiko2022', 'hashtaghalalan2022']","honestly, afraid, campaign, leni, robredo, purely, people, effort, politician, served, delivered, targeted, maligned, hashtaglenikiko",0.024537037037037038,0.02546296296296296,0.4074074074074074,Negative,0.652,Positive
anyways sharing my senatorial list for those who are asking baguilat colmenares de lima diokno espiritu hontiveros labog alex lacson matula minguita padilla trillanes zubiaga hashtagHalalan2022,"['anyways', 'sharing', 'my', 'senatorial', 'list', 'for', 'those', 'who', 'are', 'asking', 'baguilat', 'colmenares', 'de', 'lima', 'diokno', 'espiritu', 'hontiveros', 'labog', 'alex', 'lacson', 'matula', 'minguita', 'padilla', 'trillanes', 'zubiaga', 'hashtaghalalan2022']","sharing, senatorial, list, baguilat, colmenares, diokno, espiritu, hontiveros, labog, alex, lacson, matula, minguita, padilla, trillanes, zubiaga",0.0024193548387096775,0.0016129032258064516,0.0967741935483871,Positive,0.652,Positive
One symbolic gesture of nationalism and patriotism hashtagPHVote hashtagHalalan2022 hashtagEleksyon2022 hashtagBBMSaraUNITEAM,"['one', 'symbolic', 'gesture', 'of', 'nationalism', 'and', 'patriotism', 'hashtagphvote', 'hashtaghalalan2022', 'hashtageleksyon2022', 'hashtagbbmsarauniteam']","symbolic, gesture, nationalism, patriotism, hashtagphvote, hashtagbbmsarauniteam",0.019886363636363636,0.014204545454545454,0.3409090909090909,Positive,0.583,Positive
last day of the campaign szn tysm ans for the wallpaper tulip hashtagIpana7oNa10ParaSaLahat hashtagLeniKikoAllTheWay2022 hashtagHalalan2022,"['last', 'day', 'of', 'the', 'campaign', 'season', 'tysm', 'ans', 'for', 'the', 'wallpaper', 'tulip', 'hashtagipana7ona10parasalahat', 'hashtaglenikikoalltheway2022', 'hashtaghalalan2022']","day, campaign, season, tysm, an, wallpaper, tulip, hashtagipanaonaparasalahat, hashtaglenikikoalltheway",0.009068627450980393,0.011029411764705883,0.34558823529411764,Negative,0.179,Positive
Praying for clean hashtagHalalan2022,"['praying', 'for', 'clean', 'hashtaghalalan2022']","praying, clean",0.08198924731182795,0.041666666666666664,0.6666666666666666,Positive,0.221,Positive
