Tweet,Tokenized_Tweets,Corrected_Words,Positive_Values,Negative_Values,Neutral_Values,Overall_Text_Sentiment,emoji_sentiments,sentiment_class
Comelec says there are onsite technicians in precincts in case VCMs encounter problem hashtagTheFilipinoVotes Philippines,"['commission_on_elections', 'says', 'there', 'are', 'onsite', 'technicians', 'in', 'precincts', 'in', 'case', 'vcms', 'encounter', 'problem', 'hashtagthefilipinovotes', 'philippines']","commission_on_elections, onsite, technician, precinct, case, vcms, encounter, problem, hashtagthefilipinovotes, philippine",0.021232057416267942,0.021364965443912812,0.29605263157894735,Negative,0.327,Positive
The campaign period already ended on May 7 but candidates flyers are still being handed out outside the Pasig Elementary School polling place A man handing out these materials reasoned out others are doing it too hashtagTheFilipinoVotes Philippines,"['the', 'campaign', 'period', 'already', 'ended', 'on', 'may', '7', 'but', 'candidates', 'flyers', 'are', 'still', 'being', 'handed', 'out', 'outside', 'the', 'pasig', 'elementary', 'school', 'polling', 'place', 'a', 'man', 'handing', 'out', 'these', 'materials', 'reasoned', 'out', 'others', 'are', 'doing', 'it', 'too', 'hashtagthefilipinovotes', 'philippines']","campaign, period, ended, candidate, flyer, handed, pasig, elementary, school, polling, place, man, handing, material, reasoned, hashtagthefilipinovotes, philippine",0.012778154610540974,0.013298672602649875,0.45454545454545453,Negative,0.652,Positive
Comelec advises the public that all complaints must be verified first Kapag nagsampa ng complaint isama niyo na yung ebidensiya Isama niyo na rin yung testimonya ng mga testigo hashtagTheFilipinoVotes Philippines,"['commission_on_elections', 'advises', 'the', 'public', 'that', 'all', 'complaints', 'must', 'be', 'verified', 'first', 'kapag', 'nagsampa', 'ng', 'complaint', 'isama', 'niyo', 'na', 'yung', 'ebidensiya', 'isama', 'niyo', 'na', 'rin', 'yung', 'testimonya', 'ng', 'mga', 'testigo', 'hashtagthefilipinovotes', 'philippines']","commission_on_elections, advises, public, complaint, verified, nagsampa, complaint, isama, ebidensiya, isama, testimonya, testigo, hashtagthefilipinovotes, philippine",0.010185185185185184,0.019675925925925927,0.2222222222222222,Negative,0.672,Positive
The 2022 national elections is proceeding without closure on the four petitions seeking to disqualify former senator Ferdinand Bongbong Marcos Jr from the presidential race hashtagTheFilipinoVotes Philippines,"['the', '2022', 'national', 'elections', 'is', 'proceeding', 'without', 'closure', 'on', 'the', 'four', 'petitions', 'seeking', 'to', 'disqualify', 'former', 'senator', 'ferdinand', 'bongbong', 'marcos', 'junior', 'from', 'the', 'presidential', 'race', 'hashtagthefilipinovotes', 'philippines']","national, election, proceeding, closure, petition, seeking, disqualify, senator, ferdinand, bongbong, marcos, junior, presidential, race, hashtagthefilipinovotes, philippine",0.013556067588325654,0.015841013824884793,0.4153225806451613,Negative,0.659,Positive
WATCH Bongbong Marcos casting his ballot in Batac Ilocos Norte hashtagTheFilipinoVotes Philippines,"['watch', 'bongbong', 'marcos', 'casting', 'his', 'ballot', 'in', 'batac', 'ilocos', 'norte', 'hashtagthefilipinovotes', 'philippines']","watch, bongbong, marcos, casting, ballot, batac, ilocos, norte, hashtagthefilipinovotes, philippine",0.006174089068825911,0.0018218623481781378,0.21052631578947367,Positive,0.652,Positive
BREAKING Bongbong Marcos casts his vote at the Mariano Marcos Memorial Elementary School in Batac City Ilocos Norte hashtagTheFilipinoVotes Philippines Quote,"['breaking', 'bongbong', 'marcos', 'casts', 'his', 'vote', 'at', 'the', 'mariano', 'marcos', 'memorial', 'elementary', 'school', 'in', 'batac', 'city', 'ilocos', 'norte', 'hashtagthefilipinovotes', 'philippines', 'quote']","breaking, bongbong, marcos, cast, vote, mariano, marcos, memorial, elementary, school, batac, city, ilocos, norte, hashtagthefilipinovotes, philippine, quote",0.010542929292929293,0.007260101010101009,0.2727272727272727,Positive,0.556,Positive
BREAKING Bongbong Marcos casts his vote at the Mariano Marcos Memorial Elementary School in Batac City Ilocos Norte hashtagTheFilipinoVotes Philippines Live updates,"['breaking', 'bongbong', 'marcos', 'casts', 'his', 'vote', 'at', 'the', 'mariano', 'marcos', 'memorial', 'elementary', 'school', 'in', 'batac', 'city', 'ilocos', 'norte', 'hashtagthefilipinovotes', 'philippines', 'live', 'updates']","breaking, bongbong, marcos, cast, vote, mariano, marcos, memorial, elementary, school, batac, city, ilocos, norte, hashtagthefilipinovotes, philippine, live, update",0.01369987468671679,0.006845238095238094,0.2857142857142857,Positive,0.484,Positive
Voters lined up early at over 37000 polling stations today as Filipinos decide on who will lead the country for the next six years hashtagTheFilipinoVotes Philippines,"['voters', 'lined', 'up', 'early', 'at', 'over', '37000', 'polling', 'stations', 'today', 'as', 'filipinos', 'decide', 'on', 'who', 'will', 'lead', 'the', 'country', 'for', 'the', 'next', 'six', 'years', 'hashtagthefilipinovotes', 'philippines']","voter, lined, early, polling, station, today, filipino, decide, lead, country, year, hashtagthefilipinovotes, philippine",0.0083915770609319,0.0067114695340501785,0.48,Positive,-0.093,Neutral
Presidential candidate Sen Ping Lacson hopes animosity and vicious attacks from supporters will be set aside after the May 9 elections He also shares his plans for the rest of the day Manonood ako ng Netflix hashtagTheFilipinoVotes Philippines,"['presidential', 'candidate', 'senator', 'ping', 'lacson', 'hopes', 'animosity', 'and', 'vicious', 'attacks', 'from', 'supporters', 'will', 'be', 'set', 'aside', 'after', 'the', 'may', '9', 'elections', 'he', 'also', 'shares', 'his', 'plans', 'for', 'the', 'rest', 'of', 'the', 'day', 'manonood', 'ako', 'ng', 'netflix', 'hashtagthefilipinovotes', 'philippines']","presidential, candidate, senator, ping, lacson, hope, animosity, vicious, attack, supporter, set, election, share, plan, rest, day, manonood, netflix, hashtagthefilipinovotes, philippine",0.0198005698005698,0.03796296296296296,0.3942307692307692,Negative,0.652,Positive
UPDATE Presidential frontrunner Bongbong Marcos Jr arrives at the Mariano Marcos Memorial Elementary School in Batac Ilocos Norte to cast his vote He is with his son Sandro who is seeking to unseat Ria Farias as Ilocos Norte 1st district representative hashtagTheFilipinoVotes Philippines,"['update', 'presidential', 'frontrunner', 'bongbong', 'marcos', 'junior', 'arrives', 'at', 'the', 'mariano', 'marcos', 'memorial', 'elementary', 'school', 'in', 'batac', 'ilocos', 'norte', 'to', 'cast', 'his', 'vote', 'he', 'is', 'with', 'his', 'son', 'sandro', 'who', 'is', 'seeking', 'to', 'unseat', 'ria', 'farias', 'as', 'ilocos', 'norte', '1st', 'district', 'representative', 'hashtagthefilipinovotes', 'philippines']","update, presidential, frontrunner, bongbong, marcos, junior, arrives, mariano, marcos, memorial, elementary, school, batac, ilocos, norte, cast, vote, son, sandro, seeking, unseat, ria, farias, ilocos, norte, district, representative, hashtagthefilipinovotes, philippine",0.00982142857142857,0.010991019214703425,0.2631578947368421,Negative,0.652,Positive
