Tweet,Tokenized_Tweets,Corrected_Words,Emoji
Comelec says there are onsite technicians in precincts in case VCMs encounter problem hashtagTheFilipinoVotes Philippines,"['commission_on_elections', 'says', 'there', 'are', 'onsite', 'technicians', 'in', 'precincts', 'in', 'case', 'vcms', 'encounter', 'problem', 'hashtagthefilipinovotes', 'philippines']","commission_on_elections, onsite, technician, precinct, case, vcms, encounter, problem, hashtagthefilipinovotes, philippine",
The campaign period already ended on May 7 but candidates flyers are still being handed out outside the Pasig Elementary School polling place A man handing out these materials reasoned out others are doing it too hashtagTheFilipinoVotes Philippines,"['the', 'campaign', 'period', 'already', 'ended', 'on', 'may', '7', 'but', 'candidates', 'flyers', 'are', 'still', 'being', 'handed', 'out', 'outside', 'the', 'pasig', 'elementary', 'school', 'polling', 'place', 'a', 'man', 'handing', 'out', 'these', 'materials', 'reasoned', 'out', 'others', 'are', 'doing', 'it', 'too', 'hashtagthefilipinovotes', 'philippines']","campaign, period, ended, candidate, flyer, handed, pasig, elementary, school, polling, place, man, handing, material, reasoned, hashtagthefilipinovotes, philippine",
Comelec advises the public that all complaints must be verified first Kapag nagsampa ng complaint isama niyo na yung ebidensiya Isama niyo na rin yung testimonya ng mga testigo hashtagTheFilipinoVotes Philippines,"['commission_on_elections', 'advises', 'the', 'public', 'that', 'all', 'complaints', 'must', 'be', 'verified', 'first', 'kapag', 'nagsampa', 'ng', 'complaint', 'isama', 'niyo', 'na', 'yung', 'ebidensiya', 'isama', 'niyo', 'na', 'rin', 'yung', 'testimonya', 'ng', 'mga', 'testigo', 'hashtagthefilipinovotes', 'philippines']","commission_on_elections, advises, public, complaint, verified, nagsampa, complaint, isama, ebidensiya, isama, testimonya, testigo, hashtagthefilipinovotes, philippine",
The 2022 national elections is proceeding without closure on the four petitions seeking to disqualify former senator Ferdinand Bongbong Marcos Jr from the presidential race hashtagTheFilipinoVotes Philippines,"['the', '2022', 'national', 'elections', 'is', 'proceeding', 'without', 'closure', 'on', 'the', 'four', 'petitions', 'seeking', 'to', 'disqualify', 'former', 'senator', 'ferdinand', 'bongbong', 'marcos', 'junior', 'from', 'the', 'presidential', 'race', 'hashtagthefilipinovotes', 'philippines']","national, election, proceeding, closure, petition, seeking, disqualify, senator, ferdinand, bongbong, marcos, junior, presidential, race, hashtagthefilipinovotes, philippine",
WATCH Bongbong Marcos casting his ballot in Batac Ilocos Norte hashtagTheFilipinoVotes Philippines,"['watch', 'bongbong', 'marcos', 'casting', 'his', 'ballot', 'in', 'batac', 'ilocos', 'norte', 'hashtagthefilipinovotes', 'philippines']","watch, bongbong, marcos, casting, ballot, batac, ilocos, norte, hashtagthefilipinovotes, philippine",
BREAKING Bongbong Marcos casts his vote at the Mariano Marcos Memorial Elementary School in Batac City Ilocos Norte hashtagTheFilipinoVotes Philippines Quote,"['breaking', 'bongbong', 'marcos', 'casts', 'his', 'vote', 'at', 'the', 'mariano', 'marcos', 'memorial', 'elementary', 'school', 'in', 'batac', 'city', 'ilocos', 'norte', 'hashtagthefilipinovotes', 'philippines', 'quote']","breaking, bongbong, marcos, cast, vote, mariano, marcos, memorial, elementary, school, batac, city, ilocos, norte, hashtagthefilipinovotes, philippine, quote",
BREAKING Bongbong Marcos casts his vote at the Mariano Marcos Memorial Elementary School in Batac City Ilocos Norte hashtagTheFilipinoVotes Philippines Live updates,"['breaking', 'bongbong', 'marcos', 'casts', 'his', 'vote', 'at', 'the', 'mariano', 'marcos', 'memorial', 'elementary', 'school', 'in', 'batac', 'city', 'ilocos', 'norte', 'hashtagthefilipinovotes', 'philippines', 'live', 'updates']","breaking, bongbong, marcos, cast, vote, mariano, marcos, memorial, elementary, school, batac, city, ilocos, norte, hashtagthefilipinovotes, philippine, live, update",
Voters lined up early at over 37000 polling stations today as Filipinos decide on who will lead the country for the next six years hashtagTheFilipinoVotes Philippines,"['voters', 'lined', 'up', 'early', 'at', 'over', '37000', 'polling', 'stations', 'today', 'as', 'filipinos', 'decide', 'on', 'who', 'will', 'lead', 'the', 'country', 'for', 'the', 'next', 'six', 'years', 'hashtagthefilipinovotes', 'philippines']","voter, lined, early, polling, station, today, filipino, decide, lead, country, year, hashtagthefilipinovotes, philippine",
Presidential candidate Sen Ping Lacson hopes animosity and vicious attacks from supporters will be set aside after the May 9 elections He also shares his plans for the rest of the day Manonood ako ng Netflix hashtagTheFilipinoVotes Philippines,"['presidential', 'candidate', 'senator', 'ping', 'lacson', 'hopes', 'animosity', 'and', 'vicious', 'attacks', 'from', 'supporters', 'will', 'be', 'set', 'aside', 'after', 'the', 'may', '9', 'elections', 'he', 'also', 'shares', 'his', 'plans', 'for', 'the', 'rest', 'of', 'the', 'day', 'manonood', 'ako', 'ng', 'netflix', 'hashtagthefilipinovotes', 'philippines']","presidential, candidate, senator, ping, lacson, hope, animosity, vicious, attack, supporter, set, election, share, plan, rest, day, manonood, netflix, hashtagthefilipinovotes, philippine",
UPDATE Presidential frontrunner Bongbong Marcos Jr arrives at the Mariano Marcos Memorial Elementary School in Batac Ilocos Norte to cast his vote He is with his son Sandro who is seeking to unseat Ria Farias as Ilocos Norte 1st district representative hashtagTheFilipinoVotes Philippines,"['update', 'presidential', 'frontrunner', 'bongbong', 'marcos', 'junior', 'arrives', 'at', 'the', 'mariano', 'marcos', 'memorial', 'elementary', 'school', 'in', 'batac', 'ilocos', 'norte', 'to', 'cast', 'his', 'vote', 'he', 'is', 'with', 'his', 'son', 'sandro', 'who', 'is', 'seeking', 'to', 'unseat', 'ria', 'farias', 'as', 'ilocos', 'norte', '1st', 'district', 'representative', 'hashtagthefilipinovotes', 'philippines']","update, presidential, frontrunner, bongbong, marcos, junior, arrives, mariano, marcos, memorial, elementary, school, batac, ilocos, norte, cast, vote, son, sandro, seeking, unseat, ria, farias, ilocos, norte, district, representative, hashtagthefilipinovotes, philippine",
