Tweets,First,Second,Third
NAKADAPA BA ANG BAYAN NGAYON Ito ang reaksiyon ni Sen Koko Pimentel sa kontrobersyal na Bayan Bangon Muli o BBM bill na inanunsyo ng posibleng maging susunod na House Speaker na si Leyte Rep Martin Romualdez hashtagBilangPilipino2022 via Maeanne Los Baos,Negative,Negative,Negative
AHAHHHAHAHAHAHA hashtagHalalan2022,Positive,Neutral,Positive
totoo pala talaga yung kasabihang Ang sinungaling ay kakampi ng magnanakaw hashtagHalalan2022,Negative,Negative,Negative
Its the last day for campaigning in the 🇵🇭 and four top presidential candidates are holding their biggest rallies today in Metro Manila Heres what you need to know before Mondays election hashtagHalalan2022,Neutral,Positive,Positive
The pink crowd has filled the Ayala Triangle as thousands of Filipinos troop to Vice President s final rally in this campaign season the Angat Buhay Pilipino Miting de Avance Robredo is expected to arrive past 7pm hashtagHalalan2022 via,Positive,Positive,Positive
TINGNAN Nangunguna pa rin sina Bongbong Marcos at Sara DuterteCarpio sa latest na partial official results sa presidential at vice presidential race batay sa 135 COCs na nabilang sa joint canvassing ng Senado at House of Representatives nitong Miyerkoles hashtagHalalan2022,Neutral,Positive,Neutral
Everyday I get more and more disapointed hashtagEleksyon2022,Negative,Negative,Negative
LOOK Partial and unofficial electronically transmitted results for president and vice president from the as of 602 pm on May 12 hashtagHalalan2022,Neutral,Neutral,Neutral
Theres no onesizefitsall when it comes to education ☝🏼 hashtagHalalan2022,Neutral,Positive,Positive
The post circulated online after student leaders called for a walkout in protest of the hashtagHalalan2022 results,Neutral,Neutral,Negative
Overseas voting sa Gitnang Silangan tuloytuloy kahit Eid Holiday hashtagHalalan2022,Neutral,Neutral,Positive
COMELEC Commissioner George Garcia says all the 12 winning senatorial candidates have confirmed attendance for their proclamation later this afternoon at the Philippine International Convention Center hashtagBilangPilipino2022 via,Neutral,Neutral,Positive
We will start asking for a receipt hashtagBilangPilipino2022,Neutral,Neutral,Neutral
Pag naging presidente ako magkakaroon tayo ng National Lazy Day ZZZ 🗳️ hashtaghalalan2022,Neutral,Neutral,Positive
Lumalabas ang tunay n kulay cge kalabanin nyo ang 31M 👊 👊 👊 hashtagpetitioner hashtagHalalan2022 hashtagBBMSARA2022,Neutral,Neutral,Positive
Abangan ang mga platform ng mga kandidato hashtaghalalan2022,Neutral,Positive,Neutral
Protesta vs proklamasyon ni Marcos nauwi sa sakitan pambobomba ng tubig hashtagHalalan2022,Neutral,Neutral,Positive
Laudiangco The Data Centers similar to the Transparency Server have already served their purposes for this Elections thus necessitating their decommissioning hashtagEleksyon2022,Neutral,Neutral,Neutral
Just a gentle reminder po 🌸 💓 ☺️ Sagrado po ang inyong boto wag hayaan na hawakan ang inyong balota mula sa pag shade hanggang sa VCM please po based sa Rumors sa VCM po sila aatake totoo man o hindi maging maingat po tayo para sa kinabukasan ng lahat hashtagEleksyon2022,Neutral,Positive,Positive
🚨 How the Marcos campaign uses the simple slogan of unity to frame them as beyond politics and disagreements on next Mondays 🇵🇭 election hashtagPHElections2022 hashtagVotePH hashtagHalalan2022,Negative,Negative,Negative
A grim reminder of what the pit of Philippine politics is filled with And another reason to choose hashtagLeniKikoAllTheWay and hashtagTeamAngatBuhay the candidates untouched by corruption hashtagHalalan2022,Negative,Negative,Positive
